task,condition,footprint,gate_set,n_safe,shortest,most_observable,delta_travel_s,delta_localization_nat_s,break_even_localization_weight,declared_localization_weight,selected_at_declared_weight,note
route_west_to_a1_upper,q=commissioned/R=commissioned,spec_0.80x0.55,deployment,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
route_west_to_a1_upper,q=commissioned/R=commissioned,spec_0.80x0.55,full,0,-,-,,,nan,,-,fewer than two safe candidates
route_west_to_a1_upper,q=commissioned/R=constant_global,deployed_burger,deployment,2,above_cross_aisle,below_main_aisle,2.1000000000000014,0.0,inf,1.0,above_cross_aisle,the longer route is never more observable; no weight can justify it
route_west_to_a1_upper,q=commissioned/R=constant_global,deployed_burger,full,2,above_cross_aisle,below_main_aisle,2.1000000000000014,0.0,inf,1.0,above_cross_aisle,the longer route is never more observable; no weight can justify it
route_west_to_a1_upper,q=commissioned/R=constant_global,spec_0.80x0.55,deployment,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
route_west_to_a1_upper,q=commissioned/R=constant_global,spec_0.80x0.55,full,0,-,-,,,nan,,-,fewer than two safe candidates
route_west_to_a1_upper,q=unity/R=commissioned,deployed_burger,deployment,2,above_cross_aisle,below_main_aisle,2.1000000000000014,-0.00020919010632025614,inf,1.0,above_cross_aisle,the longer route is never more observable; no weight can justify it
route_west_to_a1_upper,q=unity/R=commissioned,deployed_burger,full,2,above_cross_aisle,below_main_aisle,2.1000000000000014,-0.00020919010632025614,inf,1.0,above_cross_aisle,the longer route is never more observable; no weight can justify it
route_west_to_a1_upper,q=unity/R=commissioned,spec_0.80x0.55,deployment,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
route_west_to_a1_upper,q=unity/R=commissioned,spec_0.80x0.55,full,0,-,-,,,nan,,-,fewer than two safe candidates
route_west_to_a1_upper,q=unity/R=constant_global,deployed_burger,deployment,2,above_cross_aisle,below_main_aisle,2.1000000000000014,0.0,inf,1.0,above_cross_aisle,the longer route is never more observable; no weight can justify it
route_west_to_a1_upper,q=unity/R=constant_global,deployed_burger,full,2,above_cross_aisle,below_main_aisle,2.1000000000000014,0.0,inf,1.0,above_cross_aisle,the longer route is never more observable; no weight can justify it
route_west_to_a1_upper,q=unity/R=constant_global,spec_0.80x0.55,deployment,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
route_west_to_a1_upper,q=unity/R=constant_global,spec_0.80x0.55,full,0,-,-,,,nan,,-,fewer than two safe candidates
sanity_visible_apron_crossing,q=commissioned/R=commissioned,deployed_burger,deployment,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
sanity_visible_apron_crossing,q=commissioned/R=commissioned,deployed_burger,full,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
sanity_visible_apron_crossing,q=commissioned/R=commissioned,spec_0.80x0.55,deployment,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
sanity_visible_apron_crossing,q=commissioned/R=commissioned,spec_0.80x0.55,full,0,-,-,,,nan,,-,fewer than two safe candidates
sanity_visible_apron_crossing,q=commissioned/R=constant_global,deployed_burger,deployment,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
sanity_visible_apron_crossing,q=commissioned/R=constant_global,deployed_burger,full,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
sanity_visible_apron_crossing,q=commissioned/R=constant_global,spec_0.80x0.55,deployment,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
sanity_visible_apron_crossing,q=commissioned/R=constant_global,spec_0.80x0.55,full,0,-,-,,,nan,,-,fewer than two safe candidates
sanity_visible_apron_crossing,q=unity/R=commissioned,deployed_burger,deployment,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
sanity_visible_apron_crossing,q=unity/R=commissioned,deployed_burger,full,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
sanity_visible_apron_crossing,q=unity/R=commissioned,spec_0.80x0.55,deployment,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
sanity_visible_apron_crossing,q=unity/R=commissioned,spec_0.80x0.55,full,0,-,-,,,nan,,-,fewer than two safe candidates
sanity_visible_apron_crossing,q=unity/R=constant_global,deployed_burger,deployment,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
sanity_visible_apron_crossing,q=unity/R=constant_global,deployed_burger,full,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
sanity_visible_apron_crossing,q=unity/R=constant_global,spec_0.80x0.55,deployment,1,below_main_aisle,-,,,nan,,below_main_aisle,fewer than two safe candidates
sanity_visible_apron_crossing,q=unity/R=constant_global,spec_0.80x0.55,full,0,-,-,,,nan,,-,fewer than two safe candidates
