condition,point_index,x,y
C3,14,-5.809843408847639,-5.682422236871078
C3,15,-5.807056864309184,-5.44243841414643
C3,16,-5.804270319770729,-5.202454591421782
C3,17,-5.801483775232273,-4.962470768697134
C3,18,-5.798697230693818,-4.722486945972486
C3,19,-5.795910686155362,-4.482503123247839
C3,20,-5.793124141616907,-4.242519300523191
C3,21,-5.790337597078452,-4.002535477798543
C3,22,-5.787551052539996,-3.7625516550738958
C3,23,-5.78476450800154,-3.5225678323492478
C3,24,-5.781977963463085,-3.2825840096245997
C3,25,-5.779191418924629,-3.0426001868999517
C3,26,-5.7764048743861744,-2.8026163641753037
C3,27,-5.773618329847719,-2.5626325414506557
C3,28,-5.770831785309263,-2.3226487187260076
C3,29,-5.768045240770808,-2.0826648960013596
C3,30,-5.765258696232352,-1.8426810732767134
C3,31,-5.762472151693896,-1.6026972505520654
C3,32,-5.759685607155442,-1.3627134278274173
C3,33,-5.756899062616986,-1.1227296051027693
C3,34,-5.75411251807853,-0.8827457823781213
C3,35,-5.751325973540075,-0.6427619596534733
C3,36,-5.748539429001619,-0.40277813692882525
C3,37,-5.7457528844631645,-0.162794314204179
C3,38,-5.742966339924709,0.07718950852046902
C3,39,-5.740179795386253,0.31717333124511704
C3,40,-5.737393250847798,0.5571571539697651
C3,41,-5.734606706309342,0.7971409766944131
C3,42,-5.731820161770886,1.037124799419061
C3,43,-5.729033617232432,1.2771086221437091
C3,44,-5.726247072693976,1.5170924448683554
C3,45,-5.72346052815552,1.7570762675930034
C3,46,-5.720673983617065,1.9970600903176514
C3,47,-5.717887439078609,2.2370439130422994
C3,48,-5.715100894540154,2.4770277357669475
C3,49,-5.712314350001699,2.7170115584915955
C3,50,-5.709527805463243,2.9569953812162435
C3,51,-5.706741260924788,3.1969792039408915
C3,52,-5.703954716386332,3.4369630266655395
C3,53,-5.701168171847876,3.676946849390186
C3,54,-5.698381627309422,3.916930672114834
C3,55,-5.695595082770966,4.156914494839482
C3,56,-5.69280853823251,4.39689831756413
C3,57,-5.690021993694055,4.636882140288778
C3,58,-5.687235449155599,4.876865963013428
C3,59,-5.684448904617144,5.116849785738076
C3,60,-5.681662360078689,5.356833608462722
C3,61,-5.68,5.5
