condition,time_after_first_command_s,detected,yolo_detected_after_threshold,yolo_score_selected,pixel_pose_available,pixel_pose_age_s,true_x,true_y,state_x,state_y,state_pos_error,pred_world_x_calibrated,pred_world_y_calibrated,localization_error_calibrated_m,obs_u,obs_v,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,mask_bottom_u,mask_bottom_v,mask_area_px,yolo_inference_ms,yolo_latency_s
C1,9.359000000000002,1,1.0,0.749629557132721,1,0.5440000000000005,0.9623849251399696,1.6724560926208023,1.4489467764814976,1.7270749655471025,0.4896178677914384,1.313055670953544,1.760750866175727,0.3616157339034957,750.7915129700415,146.2495625973389,744.50634765625,131.71482849121094,758.6395263671875,147.5869598388672,748.4444376627604,146.6666717529297,202.6672159829177,73.16055100000085,0.0730810165405273
C1,9.514000000000003,1,1.0,0.6823952198028564,1,0.6990000000000016,0.9011741175423756,1.6669409739915175,1.313055670953544,1.710750866175727,0.4142049259649011,1.313055670953544,1.760750866175727,0.4224295324808744,742.8213226869784,148.56934307603314,735.8187866210938,131.5906982421875,751.7750244140625,148.59103393554688,736.0,146.6666717529297,266.666015625,78.95158799999535,0.0788691043853759
C1,9.666,1,1.0,0.7268109321594238,1,0.6529999999999987,0.8674820426314893,1.6608682593035848,1.214100732119047,1.664578619057986,0.3466385475846256,1.214100732119047,1.714578619057986,0.3507553544096211,737.8518054250779,147.670647943991,731.21533203125,131.6892547607422,744.4188232421875,148.41500854492188,740.0,144.0,248.88825141079724,61.378662000009854,0.0613026618957519
C1,9.818999999999999,0,0.0,0.0004834472492802,1,0.6410000000000018,0.8674820426308982,1.6608682593034605,1.1570731703577872,1.682425173134422,0.2903923583568391,1.1570731703577872,1.732425173134422,0.2983008769265404,1134.1685646934186,83.97140499450626,1129.3426513671875,69.61141967773438,1141.567626953125,82.54902648925781,1132.0,85.33333587646484,248.88743760809305,60.27398899999525,0.0601963996887207
C1,10.001000000000001,1,1.0,0.6648234724998474,1,0.5259999999999998,0.8674820426302512,1.6608682593033988,1.048432046377259,1.6922276264591765,0.1836472536262195,1.048432046377259,1.7422276264591765,0.1983992199582215,728.5948739278576,147.17810532027582,720.1893310546875,131.19920349121094,736.0970458984375,147.55267333984375,727.1111246744791,144.0,167.11093478742987,62.709304999998494,0.06264328956604
C1,10.166,1,1.0,0.7794790863990784,1,0.690999999999999,0.8674820426296779,1.6608682593034272,1.048432046377259,1.6922276264591765,0.1836472536267795,1.048432046377259,1.7422276264591765,0.1983992199587327,721.8545341046839,148.1183882420462,714.611328125,130.49957275390625,729.5390625,148.64791870117188,714.6666564941406,146.6666717529297,352.00048828125,98.79940300001522,0.0986628532409668
C1,10.350000000000001,1,1.0,0.8509721755981445,1,0.5450000000000017,0.8674820426289798,1.660868259303572,0.9672160764315586,1.673526633297924,0.1005341331623982,0.927641866075899,1.7029614307602992,0.073423698084814,718.635029993436,149.1556703720145,714.5673217773438,131.23568725585938,728.5748291015625,149.04000854492188,713.3333129882812,149.3333282470703,266.66650390625,77.446177000013,0.0773878097534179
C1,10.511000000000003,1,1.0,0.8388420343399048,1,0.5080000000000027,0.8674820426286178,1.660868259303648,0.927641866075899,1.652961430760299,0.0606771974865514,0.952648387296358,1.7303869324690933,0.1099370373566085,720.5774353266323,147.77311831327188,714.5934448242188,131.35153198242188,728.7025146484375,148.7758026123047,713.3333129882812,149.3333282470703,266.66650390625,52.251288999997314,0.0522065162658691
C1,10.683000000000003,1,1.0,0.7750076651573181,1,0.5150000000000041,0.8674820426286178,1.660868259303648,0.952648387296358,1.6803869324690932,0.0873743947973535,0.961391742969422,1.6909574938290322,0.098612341278479,721.5744592742972,149.76272774010192,714.6287841796875,132.23419189453125,729.8006591796875,149.03042602539062,713.3333129882812,149.3333282470703,376.8891872828826,58.55699899998967,0.0585107803344726
C2,0.06099999999999994,1,1.0,0.7383942604064941,1,0.7289999999999992,3.349999999999996,-1.5499999999956264,3.3544906486666526,-1.633226344255938,0.0833474073045061,3.3544906486666526,-1.583226344255938,0.0335284338786064,1027.0846419063682,375.3261405904357,1012.6923828125,354.7157897949219,1037.95556640625,375.1269226074219,1017.3333129882812,384.0,711.1109754778445,65.41905599999609,0.0653212070465087
