stamp,x,y,yaw,cov_x,cov_y,cov_yaw,planner_belief_x,planner_belief_y,planner_belief_yaw,planner_cov_x,planner_cov_y,planner_cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,optimizer_success,optimizer_status,optimizer_nit,optimizer_nfev,optimizer_message,plan_time_ms,solve_time_ms,measurement_available,belief_age_s,p_vis_plan,p_vis_plan_eff,r_plan_u_std,r_plan_v_std,efe_total,efe_risk,efe_ambiguity,efe_control,efe_visibility,efe_obstacle,seed
10.086,-4.678788170081479,2.369332461037004,-0.1001255941046863,0.0,0.0,1e-12,-4.785371324624775,2.3566684189553633,-0.19778708690926716,0.00038725600320219333,0.0011971660461172042,0.006678607440643466,0.22,-0.008697481050769446,0.6,1.2,5.406749758313863,25,1.056000000000001,1.0,0.0,2.0,5.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,368.4680050064344,335.01181099563837,1.0,0.20500000000000002,0.9998136151941452,0.9994409497938485,4.1477572224977015,4.1477572224977015,897.8787989952058,770.7312534838106,108.675861153851,0.0,18.47168435754415,3.054604669220738e-14,0
10.186,-4.656899616266225,2.3671208610405756,-0.10114916233211564,0.0,0.0,1e-12,-4.672493550925418,2.339631770014754,-0.21474769893969145,0.00038631243623740675,0.0014512950749194795,0.007488660509626994,0.22,-0.030290101442186076,0.6,1.2,5.384901547825742,25,1.0560000000000007,1.0,0.0,2.0,5.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,481.1088370042853,466.68275698903017,1.0,0.137,0.9997867392317603,0.9993603541260476,4.3339429325678,4.3339429325678,909.2185169178377,782.8814815786716,107.88177669802138,0.0,18.455258641144756,4.8415766674649013e-14,0
10.288,-4.6350149550592015,2.3648711387054564,-0.10394065366317333,0.0,0.0,1e-12,-4.672493550925418,2.339631770014754,-0.21474769893969145,0.00038631243623740675,0.0014512950749194795,0.007488660509626994,0.22,-0.030290101442186076,0.6,1.2,5.363050097610728,25,1.0560000000000007,1.0,0.0,2.0,5.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,481.1088370042853,466.68275698903017,1.0,0.137,0.9997867392317603,0.9993603541260476,4.3339429325678,4.3339429325678,909.2185169178377,782.8814815786716,107.88177669802138,0.0,18.455258641144756,4.8415766674649013e-14,0
10.386,-4.6131364741412755,2.362562048910263,-0.106128438170795,0.0,0.0,1e-12,-4.672493550925418,2.339631770014754,-0.21474769893969145,0.00038631243623740675,0.0014512950749194795,0.007488660509626994,0.22,-0.018606411883616496,0.6,1.2,5.341192976815999,25,1.0560000000000007,1.0,0.0,2.0,5.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,481.1088370042853,466.68275698903017,1.0,0.137,0.9997867392317603,0.9993603541260476,4.3339429325678,4.3339429325678,909.2185169178377,782.8814815786716,107.88177669802138,0.0,18.455258641144756,4.8415766674649013e-14,0
10.486,-4.591261900230916,2.3602162110551346,-0.10742242841159494,0.0,0.0,1e-12,-4.672493550925418,2.339631770014754,-0.21474769893969145,0.00038631243623740675,0.0014512950749194795,0.007488660509626994,0.22,-0.0115232748949214,0.6,1.2,5.319332831585577,25,1.0560000000000007,1.0,0.0,2.0,5.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,481.1088370042853,466.68275698903017,1.0,0.137,0.9997867392317603,0.9993603541260476,4.3339429325678,4.3339429325678,909.2185169178377,782.8814815786716,107.88177669802138,0.0,18.455258641144756,4.8415766674649013e-14,0
10.591,-4.569389977765518,2.357845774806521,-0.10841357044529656,0.0,0.0,1e-12,-4.672493550925418,2.339631770014754,-0.21474769893969145,0.00038631243623740675,0.0014512950749194795,0.007488660509626994,0.22,-0.008423554371340743,0.6,1.2,5.297471055179055,25,1.0560000000000007,1.0,0.0,2.0,5.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,481.1088370042853,466.68275698903017,1.0,0.137,0.9997867392317603,0.9993603541260476,4.3339429325678,4.3339429325678,909.2185169178377,782.8814815786716,107.88177669802138,0.0,18.455258641144756,4.8415766674649013e-14,0
10.668,-4.55189396832356,2.355935371610579,-0.10913309941636637,0.0,0.0,1e-12,-4.672493550925418,2.339631770014754,-0.21474769893969145,0.00038631243623740675,0.0014512950749194795,0.007488660509626994,0.22,-0.009806724440487111,0.6,1.2,5.279980875362065,25,1.0560000000000007,1.0,0.0,2.0,5.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,481.1088370042853,466.68275698903017,1.0,0.137,0.9997867392317603,0.9993603541260476,4.3339429325678,4.3339429325678,909.2185169178377,782.8814815786716,107.88177669802138,0.0,18.455258641144756,4.8415766674649013e-14,0
10.789,-4.525653045876308,2.353041614424551,-0.11078507321912329,0.0,0.0,1e-12,-4.5592258939121155,2.321498762723496,-0.22547881646756782,0.0004550179057088736,0.001804541014160401,0.008091347106248184,0.22,-0.01837153043147684,0.6,1.2,5.253743818582692,25,1.0559999999999994,1.0,0.0,2.0,4.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,689.8392960138153,646.4730189763941,1.0,0.21400000000000002,0.9997670749079481,0.9993013874735028,4.465247942841904,4.465247942841904,918.9798662118553,793.7084057126414,106.8388206939054,0.0,18.432639805308458,7.393171253958297e-14,0
10.887,-4.503790161051545,2.3505892419068037,-0.11262222627358928,0.0,0.0,1e-12,-4.5592258939121155,2.321498762723496,-0.22547881646756782,0.0004550179057088736,0.001804541014160401,0.008091347106248184,0.22,-0.01837153043147684,0.6,1.2,5.231876299344072,25,1.0559999999999994,1.0,0.0,2.0,4.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,689.8392960138153,646.4730189763941,1.0,0.21400000000000002,0.9997670749079481,0.9993013874735028,4.465247942841904,4.465247942841904,918.9798662118553,793.7084057126414,106.8388206939054,0.0,18.432639805308458,7.393171253958297e-14,0
10.968,-4.486302973263747,2.3485997131979963,-0.11386995865538377,0.0,0.0,1e-12,-4.5592258939121155,2.321498762723496,-0.22547881646756782,0.0004550179057088736,0.001804541014160401,0.008091347106248184,0.22,-0.01418303869857629,0.6,1.2,5.214380043398271,25,1.0559999999999994,1.0,0.0,2.0,4.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,689.8392960138153,646.4730189763941,1.0,0.21400000000000002,0.9997670749079481,0.9993013874735028,4.465247942841904,4.465247942841904,918.9798662118553,793.7084057126414,106.8388206939054,0.0,18.432639805308458,7.393171253958297e-14,0
