stamp,source,odom_x,odom_y,odom_yaw,cmd_v,cmd_w,pix_u,pix_v,pix_yaw
11.373,odom,0.2463490980264424,0.008208870424447911,0.061103090648024216,0.21997140245667435,0.032247995234291484,,,
11.287,pixel,,,,,,584.154541015625,610.4298095703125,0.0
11.393,odom,0.2507402288660185,0.008478937891244053,0.06174805055559499,0.21997140245667435,0.032247995234291484,,,
11.413,odom,0.2551311846096219,0.008751837405014236,0.06239301046316561,0.21997140245667435,0.032247995234291484,,,
11.32,pixel,,,,,,585.0127563476562,609.8289184570312,0.0
11.433,odom,0.2595220638014064,0.009027470536727433,0.06298212630954789,0.21997693180012767,0.028963050455462786,,,
11.353,pixel,,,,,,585.8226928710938,609.254150390625,0.0
11.453,odom,0.2639127989433593,0.009305651377177338,0.0635613873215403,0.21997693180012767,0.028963050455462786,,,
11.473,odom,0.2683033933052081,0.009586369406420119,0.06412703967820166,0.21998106358348474,0.026241319381303085,,,
11.386,pixel,,,,,,586.7183837890625,608.605712890625,0.0
11.493,odom,0.2726938972584621,0.009869462897348065,0.06465186606870874,0.21998106358348474,0.026241319381303085,,,
11.419,pixel,,,,,,587.541259765625,608.0552978515625,0.0
11.513,odom,0.27708425203212145,0.010154860601525062,0.06517669245921548,0.21998106358348474,0.026241319381303085,,,
11.533,odom,0.2814745149146244,0.010442496941973316,0.06566220565952971,0.219984443699815,0.023784244992034288,,,
11.452,pixel,,,,,,588.4017944335938,607.431884765625,0.0
11.553,odom,0.28586465368360187,0.010732226834111831,0.06613789056224391,0.219984443699815,0.023784244992034288,,,
11.573,odom,0.29025465413575674,0.011024045016125233,0.06661357546495428,0.21998684448783815,0.021872060447213945,,,
11.485,pixel,,,,,,589.1760864257812,606.7392578125,0.0
11.593,odom,0.2946445658686059,0.011317878711355447,0.06705292886134281,0.21998684448783815,0.021872060447213945,,,
11.518,pixel,,,,,,590.01025390625,606.18359375,0.0
11.613,odom,0.2990343510277741,0.011613633077457414,0.06749037007315505,0.21998684448783815,0.021872060447213945,,,
11.633,odom,0.30342403870383267,0.011911293270435422,0.06789767226029826,0.21999309642422185,0.015844255493603198,,,
11.551,pixel,,,,,,590.8658447265625,605.5618896484375,0.0
11.653,odom,0.307813715269171,0.012210499683747433,0.0682145573730416,0.21999309642422185,0.015844255493603198,,,
11.584,pixel,,,,,,591.74609375,604.95849609375,0.0
11.673,odom,0.31220329680005554,0.012511097105166943,0.068531442485785,0.21999309642422185,0.015844255493603198,,,
11.693,odom,0.3165928082895503,0.012813054807897604,0.06881889813119411,0.21999542281226248,0.0129013087557529,,,
11.617,pixel,,,,,,592.556640625,604.38720703125,0.0
11.713000000000001,odom,0.32098226270156455,0.013116179005363328,0.06907692430917355,0.21999542281226248,0.0129013087557529,,,
11.733,odom,0.3253716387534824,0.013420435786869552,0.06933495048715262,0.21999542281226248,0.0129013087557529,,,
11.65,pixel,,,,,,593.3543701171875,603.7515869140625,0.0
11.753,odom,0.32976095461719956,0.013725783181438534,0.06956991135259158,0.21999633491817425,0.011544525664000549,,,
11.683,pixel,,,,,,594.1829833984375,603.195068359375,0.0
11.773,odom,0.3341502024984133,0.014032145549459259,0.06980080186873265,0.21999633491817425,0.011544525664000549,,,
11.716,pixel,,,,,,594.9600830078125,602.5135498046875,0.0
11.793,odom,0.3385393985910096,0.014339493822047718,0.06999897767783209,0.21999847155679378,0.0074551872753173005,,,
11.749,pixel,,,,,,595.726806640625,601.8952026367188,0.0
11.813,odom,0.3429285698535466,0.01464756294658922,0.07014808142620202,0.21999847155679378,0.0074551872753173005,,,
11.833,odom,0.34731771127126654,0.014956224874651713,0.07022603072651681,0.21999994304577608,-0.0014391187500625857,,,
11.853,odom,0.35170686930570433,0.015264902249537478,0.07019724835438637,0.21999994304577608,-0.0014391187500625857,,,
11.782,pixel,,,,,,596.616455078125,601.3653564453125,0.0
11.873,odom,0.3560960362227898,0.015573453293924748,0.0701684659822559,0.21999994304577608,-0.0014391187500625857,,,
11.815,pixel,,,,,,597.4414672851562,600.7156982421875,0.0
11.893,odom,0.3604852115284268,0.015881893095491494,0.07015339745367648,0.21999999987383143,-6.773439274761248e-05,,,
11.848,pixel,,,,,,598.3065185546875,600.1883544921875,0.0
11.913,odom,0.3648743888762572,0.016190311942833366,0.0701520427686932,0.21999999987383143,-6.773439274761248e-05,,,
11.933,odom,0.3692635666418941,0.016498724844222303,0.07015068808370957,0.21999999987383143,-6.773439274761248e-05,,,
11.953,odom,0.3736527468763471,0.016807062364845863,0.07010989711533566,0.2199998236269332,-0.002532502106925473,,,
11.881,pixel,,,,,,599.0532836914062,599.5568237304688,0.0
11.973,odom,0.37804194171536465,0.017115181850870922,0.07005924707606355,0.2199998236269332,-0.002532502106925473,,,
11.993,odom,0.3824311521550169,0.01742307902360866,0.07000859703679144,0.2199998236269332,-0.002532502106925473,,,
11.914,pixel,,,,,,599.8045043945312,598.923583984375,0.0
12.013,odom,0.3868203684919303,0.017730595286526575,0.06987838598763386,0.2199986707045308,-0.006952558215525354,,,
11.947,pixel,,,,,,600.635986328125,598.35546875,0.0
12.033,odom,0.39120962511091123,0.01803750299994341,0.06973933482618651,0.2199986707045308,-0.006952558215525354,,,
12.053,odom,0.3955989004907013,0.018343740266544322,0.0695472772993738,0.2199958711414139,-0.01225319476102637,,,
11.98,pixel,,,,,,601.428955078125,597.6943359375,0.0
12.073,odom,0.39998821880991675,0.018648958093244978,0.06930221340702289,0.2199958711414139,-0.01225319476102637,,,
12.093,odom,0.40437760487370383,0.018953097809228287,0.06904826450893427,0.21999233452069994,-0.016695697666035413,,,
12.013,pixel,,,,,,602.2811279296875,597.2249755859375,0.0
12.113,odom,0.40876701783759506,0.019255925400461213,0.06871435055849055,0.21999233452069994,-0.016695697666035413,,,
12.046,pixel,,,,,,603.1021728515625,596.6029663085938,0.0
12.133,odom,0.4131565316751351,0.019557287288616942,0.06838043660804646,0.21999233452069994,-0.016695697666035413,,,
12.153,odom,0.417546145389722,0.019857183282464934,0.06804596459666115,0.21999233452069994,-0.016695697666035413,,,
