stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,efe_total,efe_risk,efe_ambiguity,efe_control,efe_boundary,efe_visibility,seed
447.679,-3.4106489239335613,-2.878659651404107,1.1350715221772991,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.276708196316452,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.712,-3.4166959831459116,-2.874532649212155,1.1257112568325287,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.278624527548834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.712,-3.4166959831459116,-2.874532649212155,1.1257112568325287,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.278624527548834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.712,-3.4166959831459116,-2.874532649212155,1.1257112568325287,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.278624527548834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.712,-3.4166959831459116,-2.874532649212155,1.1257112568325287,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.278624527548834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.712,-3.4166959831459116,-2.874532649212155,1.1257112568325287,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.278624527548834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.712,-3.4166959831459116,-2.874532649212155,1.1257112568325287,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.278624527548834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.712,-3.4166959831459116,-2.874532649212155,1.1257112568325287,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.278624527548834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.712,-3.4166959831459116,-2.874532649212155,1.1257112568325287,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.278624527548834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
447.712,-3.4166959831459116,-2.874532649212155,1.1257112568325287,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.278624527548834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.108,-3.4138615138939765,-2.751748895961307,1.0542041630706644,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.1971488835872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.108,-3.4138615138939765,-2.751748895961307,1.0542041630706644,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.1971488835872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.108,-3.4138615138939765,-2.751748895961307,1.0542041630706644,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.1971488835872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.108,-3.4138615138939765,-2.751748895961307,1.0542041630706644,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.1971488835872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.108,-3.4138615138939765,-2.751748895961307,1.0542041630706644,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.1971488835872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.603,-3.4203882640690546,-2.6948256992537467,0.982596125586963,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.165689030482682,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.603,-3.4203882640690546,-2.6948256992537467,0.982596125586963,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.165689030482682,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.768,-3.3912285223067418,-2.6388773453718244,0.9731939237834226,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.107540915353676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.768,-3.3912285223067418,-2.6388773453718244,0.9731939237834226,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.107540915353676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.768,-3.3912285223067418,-2.6388773453718244,0.9731939237834226,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.107540915353676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.768,-3.3912285223067418,-2.6388773453718244,0.9731939237834226,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.107540915353676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.768,-3.3912285223067418,-2.6388773453718244,0.9731939237834226,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.107540915353676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.768,-3.3912285223067418,-2.6388773453718244,0.9731939237834226,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.107540915353676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.768,-3.3912285223067418,-2.6388773453718244,0.9731939237834226,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.107540915353676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.768,-3.3912285223067418,-2.6388773453718244,0.9731939237834226,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.107540915353676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.768,-3.3912285223067418,-2.6388773453718244,0.9731939237834226,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.107540915353676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.768,-3.3912285223067418,-2.6388773453718244,0.9731939237834226,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.107540915353676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.768,-3.3912285223067418,-2.6388773453718244,0.9731939237834226,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.107540915353676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.768,-3.3912285223067418,-2.6388773453718244,0.9731939237834226,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.107540915353676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.768,-3.3912285223067418,-2.6388773453718244,0.9731939237834226,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.107540915353676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
448.966,-3.375514080527231,-2.6256300926210088,0.9568704012705833,0.0,0.0,1e-12,0.0,0.0,4.4,3.8,10.086988713370998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
