task,condition,label,seed,planner,run_dir,goal_reached,collision,completion_reason,path_length_m,min_goal_distance,final_goal_distance,elapsed_s,mean_loc_error_m,mean_loc_nll,mean_loc_nees,mean_overconf,f_shadow,mean_rho_plan,path_efficiency,mean_cov_trace,yolo_detection_rate,mean_solve_time_ms,p90_solve_time_ms,valid_run,is_clean_success,is_near_success,is_collision,is_penetration,is_timeout,is_interrupted,is_invalid,goal_region_entered,max_obstacle_penetration_m,max_wall_penetration_m,n_rows,outcome
b5_a4_apron_to_a2_mid,C1,C1,0,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/b5_a4_apron_to_a2_mid/C1/seed0/experiment_20260612_054047,1,0,goal_reached,6.557503,0.232079,0.232501,15.499000,0.239339,107.426617,225.273981,4.493808,0.500000,0.422081,,0.006690,0.629630,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,548,goal_reached
b5_a4_apron_to_a2_mid,C1,C1,1,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/b5_a4_apron_to_a2_mid/C1/seed1/experiment_20260612_054333,1,0,goal_reached,6.852372,0.200497,0.200497,22.004000,0.241001,82.105295,175.425730,6.580442,0.352941,0.554947,,0.004868,0.720930,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,552,goal_reached
b5_a4_apron_to_a2_mid,C1,C1,2,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/b5_a4_apron_to_a2_mid/C1/seed2/experiment_20260612_054553,1,0,goal_reached,6.778965,0.126319,0.126319,17.690000,0.123567,11.830762,34.200701,2.463779,0.466292,0.447379,,0.005839,0.661290,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,527,goal_reached
b5_a4_apron_to_a2_mid,C1,C1,3,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/b5_a4_apron_to_a2_mid/C1/seed3/experiment_20260612_054830,0,1,collision,2.768965,3.397969,3.397969,6.100000,0.116104,13.209733,37.803870,3.002726,0.500000,0.432876,,0.002530,0.640000,,0.000000,0,0,0,1,1,0,0,0,0,0.004287,0.000000,391,collision
b5_a4_apron_to_a2_mid,C1,C1,4,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/b5_a4_apron_to_a2_mid/C1/seed4/experiment_20260612_055015,1,0,goal_reached,6.506695,0.146367,0.146367,15.599000,0.149824,68.963935,148.304265,2.758614,0.509554,0.408332,,0.006345,0.618182,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,433,goal_reached
b5_a4_apron_to_a2_mid,C2,C2,0,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/b5_a4_apron_to_a2_mid/C2/seed0/experiment_20260612_055218,1,0,goal_reached,7.845953,0.080628,0.080628,19.267000,0.127701,21.526909,55.056950,4.067445,0.000000,0.769514,,0.001070,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,570,goal_reached
b5_a4_apron_to_a2_mid,C2,C2,1,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/b5_a4_apron_to_a2_mid/C2/seed1/experiment_20260612_055439,1,0,goal_reached,9.113505,0.041343,0.177125,23.700000,0.141083,29.124400,70.297562,4.532337,0.000000,0.761993,,0.001017,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,578,goal_reached
b5_a4_apron_to_a2_mid,C2,C2,2,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/b5_a4_apron_to_a2_mid/C2/seed2/experiment_20260612_055701,1,0,goal_reached,8.080144,0.054866,0.054866,19.994000,0.164031,35.329820,82.610889,5.095755,0.000000,0.762268,,0.001089,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,569,goal_reached
b5_a4_apron_to_a2_mid,C2,C2,3,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/b5_a4_apron_to_a2_mid/C2/seed3/experiment_20260612_055924,1,0,goal_reached,7.437963,0.058661,0.206536,20.101000,0.106285,24.803609,59.662590,1.918563,0.425743,0.468189,,0.009096,0.690141,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,682,goal_reached
b5_a4_apron_to_a2_mid,C2,C2,4,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/b5_a4_apron_to_a2_mid/C2/seed4/experiment_20260612_060237,0,1,collision,4.043142,3.394368,3.394368,9.882000,0.142451,27.060324,66.311338,4.373982,0.000000,0.803788,,0.001247,1.000000,,0.000000,0,0,0,1,1,0,0,0,0,0.006479,0.000000,586,collision
