diag_stamp,log_stamp,detected,true_available,true_x,true_y,true_yaw,state_available,state_x,state_y,state_yaw,state_pos_error,state_yaw_error_deg,obs_u,obs_v,obs_yaw,obs_yaw_error_deg,pixel_pose_available,pixel_pose_stamp,pixel_pose_u,pixel_pose_v,pixel_pose_yaw,pixel_pose_age_s,u_red,v_red,red_area_px,u_blue,v_blue,blue_area_px,separation_px,border_margin_px,perception_backend,seed
669.224,669.336,1,1,-3.9999999999959317,-1.671961661210714e-23,-4.891550519167876e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550545427971e-12,1.1115132098981006e-14,-1.5045926114492796e-18,325.7452694671414,374.30358443962695,-4.891550543223012e-12,-1.3782577681884967e-18,1,0.56,325.7452694671414,374.30358443962695,-4.891550543223012e-12,668.6640000000001,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.244,669.34,1,1,-3.9999999999959317,-1.671961661210714e-23,-4.891550519167876e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550545427971e-12,1.1115132098981006e-14,-1.5045926114492796e-18,325.7452694671414,374.30358443962695,-4.891550537555992e-12,-1.0535614379871753e-18,1,669.336,325.7452694671414,374.30358443962695,-4.891550537555992e-12,-0.09199999999998454,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.264,0.5860000000000001,1,1,-3.9999999999959317,-1.671961661210714e-23,-4.891550519167876e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550545427971e-12,1.1115132098981006e-14,-1.5045926114492796e-18,325.7452694671414,374.30358443962695,-4.891550524553525e-12,-3.0857493289414893e-19,1,669.338,325.7452694671414,374.30358443962695,-4.891550524553525e-12,-0.07399999999995543,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.284,0.5950000000000001,1,1,-3.9999999999959317,-1.671961661210714e-23,-4.891550519167876e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550543223012e-12,1.1115132098981006e-14,-1.3782577681884967e-18,325.7452694671414,374.30358443962695,-4.891550523030895e-12,-2.2133468984872582e-19,1,0.5830000000000001,325.7452694671414,374.30358443962695,-4.891550523030895e-12,668.701,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.304,669.3580000000001,1,1,-3.9999999999959317,-1.6719616616804545e-23,-4.89155051517691e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550537555992e-12,1.1115132098981006e-14,-1.2822269641646908e-18,325.7452694671414,374.30358443962695,-4.891550515238251e-12,-3.514604480679483e-21,1,669.34,325.7452694671414,374.30358443962695,-4.891550515238251e-12,-0.03600000000005821,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.324,0.613,1,1,-3.9999999999959317,-1.6719616614426926e-23,-4.891550511669581e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550524553525e-12,1.1115132098981006e-14,-7.3819560813334e-19,325.7452694671414,374.30358443962695,-4.891550519167876e-12,-4.2962067523919113e-19,1,0.5840000000000001,325.7452694671414,374.30358443962695,-4.891550519167876e-12,668.74,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.344,0.614,1,1,-3.9999999999959317,-1.6719616614426926e-23,-4.891550511669581e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550523030895e-12,1.1115132098981006e-14,-6.50955365087917e-19,325.7452694671414,374.30358443962695,-4.89155051517691e-12,-2.009551490616756e-19,1,669.355,325.7452694671414,374.30358443962695,-4.89155051517691e-12,-0.010999999999967258,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.364,0.622,1,1,-3.9999999999959317,-1.6719616614426926e-23,-4.891550511669581e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550515238251e-12,1.1115132098981006e-14,-2.0446975354235508e-19,325.7452694671414,374.30358443962695,-4.891550511669581e-12,0.0,1,669.364,325.7452694671414,374.30358443962695,-4.891550511669581e-12,0.0,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.384,669.394,1,1,-3.9999999999959317,-1.6719616612945482e-23,-4.89155051154924e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550511669581e-12,1.1115132098981006e-14,-6.895034074419925e-21,325.7452694671414,374.30358443962695,-4.89155051154924e-12,0.0,1,669.389,325.7452694671414,374.30358443962695,-4.89155051154924e-12,-0.0049999999999954525,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.404,669.428,1,1,-3.9999999999959317,-1.6719616609086775e-23,-4.891550485049519e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550505450667e-12,1.1115132098981006e-14,-1.168899679631058e-18,325.7452694671414,374.30358443962695,-4.891550505450667e-12,-1.168899679631058e-18,1,669.419,325.7452694671414,374.30358443962695,-4.891550505450667e-12,-0.014999999999986358,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.424,0.661,1,1,-3.9999999999959317,-1.6719616609086775e-23,-4.891550485049519e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550505450667e-12,1.1115132098981006e-14,-1.168899679631058e-18,325.7452694671414,374.30358443962695,-4.891550485049519e-12,0.0,1,0.658,325.7452694671414,374.30358443962695,-4.891550485049519e-12,668.766,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.444,669.457,1,1,-3.9999999999959317,-1.6719616602419542e-23,-4.891550476487174e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550476487174e-12,1.1115132098981006e-14,0.0,325.7452694671414,374.30358443962695,-4.891550476487174e-12,0.0,1,669.451,325.7452694671414,374.30358443962695,-4.891550476487174e-12,-0.007000000000061846,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.464,0.6900000000000001,1,1,-3.9999999999959317,-1.6719616602780956e-23,-4.891550475158415e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550476487174e-12,1.1115132098981006e-14,-7.613228414050091e-20,325.7452694671414,374.30358443962695,-4.891550475158415e-12,0.0,1,0.685,325.7452694671414,374.30358443962695,-4.891550475158415e-12,668.7790000000001,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.484,669.486,1,1,-3.9999999999959317,-1.6719616602263142e-23,-4.8915504731896195e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550475158415e-12,1.1115132098981006e-14,-1.1280368312075207e-19,325.7452694671414,374.30358443962695,-4.8915504731896195e-12,0.0,1,669.484,325.7452694671414,374.30358443962695,-4.8915504731896195e-12,0.0,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.504,669.5300000000001,1,1,-3.9999999999959317,-1.671961660516435e-23,-4.891550471493149e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.8915504736043375e-12,1.1115132098981006e-14,-1.209622012374448e-19,325.7452694671414,374.30358443962695,-4.8915504736043375e-12,-1.209622012374448e-19,1,0.7240000000000001,325.7452694671414,374.30358443962695,-4.8915504736043375e-12,668.78,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.524,669.5350000000001,1,1,-3.9999999999959317,-1.671961660516435e-23,-4.891550471493149e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550471493149e-12,1.1115132098981006e-14,0.0,325.7452694671414,374.30358443962695,-4.891550471493149e-12,0.0,1,669.53,325.7452694671414,374.30358443962695,-4.891550471493149e-12,-0.005999999999971806,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.544,0.778,1,1,-3.9999999999959317,-1.6719616598180262e-23,-4.891550468587079e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550471493149e-12,1.1115132098981006e-14,-1.665055269950573e-19,325.7452694671414,374.30358443962695,-4.891550468587079e-12,0.0,1,669.545,325.7452694671414,374.30358443962695,-4.891550468587079e-12,-0.0009999999999763531,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
669.564,669.57,1,1,-3.9999999999959317,-1.6719616593985364e-23,-4.891550459163274e-12,1,-3.9999999999959326,1.107958935620287e-14,-4.891550468587079e-12,1.1115132098981006e-14,-5.399442751186088e-19,325.7452694671414,374.30358443962695,-4.891550459163274e-12,0.0,1,669.566,325.7452694671414,374.30358443962695,-4.891550459163274e-12,-0.002000000000066393,nan,nan,nan,nan,nan,nan,nan,325.7452694671414,homography,0
