diag_stamp,log_stamp,detected,true_available,true_x,true_y,true_yaw,state_available,state_x,state_y,state_yaw,state_pos_error,state_yaw_error_deg,obs_u,obs_v,obs_yaw,obs_yaw_error_deg,pixel_pose_available,pixel_pose_stamp,pixel_pose_u,pixel_pose_v,pixel_pose_yaw,pixel_pose_age_s,u_red,v_red,red_area_px,u_blue,v_blue,blue_area_px,separation_px,border_margin_px,seed
5.995,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.8917215767037495e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721581676899e-12,nan,1,5.995,125.98269624522268,319.6989517684045,-4.891721581676899e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.015,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721581676899e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721573656963e-12,nan,1,6.015,125.98269624522268,319.6989517684045,-4.891721573656963e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.035,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721573656963e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721575083178e-12,nan,1,6.042,125.98269624522268,319.6989517684045,-4.891721575083178e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.055,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721575083178e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721570712553e-12,nan,1,6.055,125.98269624522268,319.6989517684045,-4.891721570712553e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.075,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721570712553e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721570169745e-12,nan,1,6.077,125.98269624522268,319.6989517684045,-4.891721570169745e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.095,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721570169745e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721571853959e-12,nan,1,6.095,125.98269624522268,319.6989517684045,-4.891721571853959e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.115,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721571853959e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721571585535e-12,nan,1,6.115,125.98269624522268,319.6989517684045,-4.891721571585535e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.135,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721577575078e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721577575078e-12,nan,1,6.135,125.98269624522268,319.6989517684045,-4.891721577575078e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.155,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721577575078e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721572986164e-12,nan,1,6.155,125.98269624522268,319.6989517684045,-4.891721572986164e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
6.175,0.0,1,0,nan,nan,nan,1,-4.99999999999593,2.4000000000000123,-4.891721572986164e-12,nan,nan,125.98269624522268,319.6989517684045,-4.891721571876476e-12,nan,1,6.186,125.98269624522268,319.6989517684045,-4.891721571876476e-12,0.0,nan,nan,nan,nan,nan,nan,nan,125.98269624522268,0
