stamp,x,y,yaw,cov_x,cov_y,cov_yaw,cmd_v,cmd_w,goal_x,goal_y,goal_dist,plan_points,plan_length,seed
9.373,0.6459878362949985,0.6310007662874706,0.8149910609848633,0.0,0.0,1e-12,0.21999224511037785,-0.016792785444308178,3.0,3.0,3.339690200632636,63,4.3133511555602455,0
9.47,0.6610902674526592,0.6469970578568031,0.8132877612755719,0.0,0.0,1e-12,0.21999303469067116,-0.01591493990316284,3.0,3.0,3.317698235635546,63,4.3133511555602455,0
9.571,0.6762192306012403,0.6629683852941803,0.8116858132056674,0.0,0.0,1e-12,0.21999373469076308,-0.015094055392300909,3.0,3.0,3.295705361885674,63,4.3133511555602455,0
9.67,0.6913731508767218,0.6789161263749114,0.8101604970628918,0.0,0.0,1e-12,0.21999413124354003,-0.014608568535215971,3.0,3.0,3.273711697278079,63,4.3133511555602455,0
9.762,0.7065506517525643,0.6948415393188206,0.8087347423675715,0.0,0.0,1e-12,0.2199947321344882,-0.013840502532896704,3.0,3.0,3.251717306566887,63,4.3133511555602455,0
9.864,0.7217504120127066,0.7107457666347864,0.8073633345082238,0.0,0.0,1e-12,0.21999516848801587,-0.013254885437205655,3.0,3.0,3.229722299230202,63,4.3133511555602455,0
9.967,0.7369714256956758,0.7266297284199995,0.8060640409296758,0.0,0.0,1e-12,0.21999598705275802,-0.012079975078002736,3.0,3.0,3.2077267214994465,63,4.3133511555602455,0
10.094,0.75526284616917,0.7456654481300303,0.8046215083954026,0.0,0.0,1e-12,0.21999640881828506,-0.011427544849052174,3.0,3.0,3.1813313504794363,63,4.3133511555602455,0
10.186,0.7705261687895528,0.761508905061923,0.8034788621222847,0.0,0.0,1e-12,0.2199968773539176,-0.010656032810314908,3.0,3.0,3.1593347315802514,63,4.3133511555602455,0
10.283,0.7858071281647154,0.7773354045624272,0.8023977370396904,0.0,0.0,1e-12,0.21999716013320159,-0.010162091603179046,3.0,3.0,3.137337721300953,63,4.3133511555602455,0
10.384,0.8011045930868897,0.7931460140299618,0.801395645990916,0.0,0.0,1e-12,0.21999746902992504,-0.00959351092780758,3.0,3.0,3.1153403547502507,63,4.3133511555602455,0
