planner,task,seed,return_code,run_dir,log_path,samples,duration_s,min_goal_dist,final_goal_dist,success,time_to_goal_s,final_plan_length,mean_efe_total,mean_efe_risk,mean_efe_ambiguity,mean_cmd_v,mean_abs_cmd_w
mpc,T3_corners,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143858,/tmp/compare_batch_logs/11_mpc_T3_corners_s0.log,224,22.279999999999998,0.0,2.59791703165077,1,0.0,5.22822255781772,116523.89241823352,116523.60031835029,0.0,0.14183115985876746,0.11249919068566383
efer,T3_corners,0,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_143954,/tmp/compare_batch_logs/12_efer_T3_corners_s0.log,272,27.121999999999996,0.0,3.3548982905492446,1,0.0,5.682636001814932,74569.72461840262,74569.56003819592,0.0,0.08593697727973687,0.031221867075263244
efe1,T1_edge_hug,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_144051,/tmp/compare_batch_logs/13_efe1_T1_edge_hug_s1.log,245,24.394,0.0,2.1405390084377642,1,0.0,4.0074774591322155,80956.15034024896,80928.6783767459,27.06918016824857,0.13975323702226744,0.09132697493743981
efe2,T1_edge_hug,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_144147,/tmp/compare_batch_logs/14_efe2_T1_edge_hug_s1.log,247,24.522000000000002,0.0,2.9638864939811036,1,0.0,5.492200731141373,74204.75784308565,74184.62308758787,19.838255262408097,0.10257578608310097,0.03415559334128571
mpc,T1_edge_hug,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_144244,/tmp/compare_batch_logs/15_mpc_T1_edge_hug_s1.log,233,23.201,0.0,0.45316048383556917,1,0.0,2.50448419200569,50510.24796279204,50510.13420912533,0.0,0.21635186973347048,0.06140526836126242
efer,T1_edge_hug,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_144341,/tmp/compare_batch_logs/16_efer_T1_edge_hug_s1.log,240,23.830000000000002,0.0,3.587080050890003,1,0.0,5.487616032605639,57904.790585452465,57904.56249766371,0.0,0.07924307622207855,0.029148022925422415
efe1,T2_diag_far,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_144439,/tmp/compare_batch_logs/17_efe1_T2_diag_far_s1.log,260,25.9,0.0,1.7701071514961646,1,0.0,4.9581650678056075,6380.959604574363,6351.28184160735,29.244263729048555,0.15079951954726917,0.034018557867710936
efe2,T2_diag_far,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_144535,/tmp/compare_batch_logs/18_efe2_T2_diag_far_s1.log,265,26.400999999999996,0.0,3.445248240111741,1,0.0,5.685224509485903,4022.789232957603,4006.1904978447014,16.41850241037767,0.08478346256084396,0.03255483995557203
mpc,T2_diag_far,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_144633,/tmp/compare_batch_logs/19_mpc_T2_diag_far_s1.log,215,21.422,0.0,2.9749252737772953,1,0.0,5.682404473752662,5986.904629158946,5986.546795042775,0.0,0.126102346253167,0.037746923749386985
efer,T2_diag_far,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_144731,/tmp/compare_batch_logs/20_efer_T2_diag_far_s1.log,244,24.28,0.0,3.156249041143594,1,0.0,5.68149756074701,4895.8694367372555,4895.649216037536,0.0,0.10389866429695777,0.034213475739168234
efe1,T3_corners,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_144826,/tmp/compare_batch_logs/21_efe1_T3_corners_s1.log,258,25.705,0.0,2.074302780244225,1,0.0,3.9115442975318473,109130.25627766749,109102.86640964999,27.178777401932294,0.1400488958813304,0.04019841943790342
efe2,T3_corners,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_144924,/tmp/compare_batch_logs/22_efe2_T3_corners_s1.log,268,26.698999999999998,0.0,5.6568542494895135,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mpc,T3_corners,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_145021,/tmp/compare_batch_logs/23_mpc_T3_corners_s1.log,259,25.803000000000004,0.0,1.5356300645919325,1,0.0,3.5043527226144535,94832.11095724952,94831.9236045057,0.0,0.16062480860886533,0.06087118266015966
efer,T3_corners,1,124,/home/joostleliveld/UnembodiedNavigation/logs/experiments/experiment_20260213_145116,/tmp/compare_batch_logs/24_efer_T3_corners_s1.log,268,26.7,0.0,5.534517205839008,1,0.0,5.714906981278023,5844.640896451612,5844.633929745026,0.0,0.006224614278166504,0.018574530414245262
